"","SID","DOB","DOT","Age","Sex","Location","Experimenter","Entered.by","Language","Exclude","Exclude_reason","Knower_level","Counterbalance","Condition","Task","Trial_number","Task_item","Response","Correct","Counting.Number.language","Notes","Exclude.Trial","Exclude.Trial.Reason","Agegroup","CP_subset","highest_count","Numerosity"
"1","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","1","3","3",1,NA,"",NA,"","(3.5,4]","CP",19,"Small"
"2","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","2","4","4",1,NA,"",NA,"","(3.5,4]","CP",19,"Small"
"3","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","3","10","9",0,NA,"",NA,"","(3.5,4]","CP",19,"Large"
"4","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","4","6","5",0,NA,"",NA,"","(3.5,4]","CP",19,"Large"
"5","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching","5","8","7",0,NA,"",NA,"","(3.5,4]","CP",19,"Large"
"6","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"Neutral-Final Question","IDK",0,NA,"",NA,"","(3.5,4]","CP",19,NA
"7","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"IDK first?","1",0,NA,"",NA,"","(3.5,4]","CP",19,NA
"8","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Set-matching",NA,"Memory_check_answer","8",1,NA,"",NA,"","(3.5,4]","CP",19,NA
"9","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","1","3","3",1,NA,"",NA,"","(3.5,4]","CP",19,NA
"10","11120-L","1/12/16","1/11/20",3.997262149,"M","Birch","RMS","RMS","English",0,"","CP","A","NEUTRAL","Give_N","2","4","4",1,NA,"",NA,"","(3.5,4]","CP",19,NA
